Country,2020
China,0.390500396
United States of America,0.153124902
India,0.097011383
Indonesia,0.060015702
Democratic Republic of the Congo,0.047125587
Russian Federation,0.040693635
Japan,0.037552049
Iran (Islamic Republic of),0.031085626
Canada,0.026273037
Saudi Arabia,0.02305974
