description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Wisconsin,5364.0,4793.0,5043.0,5341.0,5486.0,5159.0,5578.0,5621.0,5987.0,5829.0,5907.0,5330.0,5748.0,6474.0,6108.0,5964.0,5842.0,6143.0,5914.0,5579.0,5875.0,6249.0
Kansas,4108.0,4149.0,4314.0,4254.0,4166.0,3703.0,4442.0,4114.0,4394.0,4288.0,3823.0,3286.0,4282.0,4696.0,4008.0,4111.0,4440.0,4904.0,4378.0,4365.0,4709.0,5464.0
Colorado,4163.0,3999.0,4021.0,4157.0,4362.0,4303.0,4766.0,4824.0,4636.0,4551.0,4743.0,4419.0,4749.0,4949.0,4683.0,4785.0,4926.0,4645.0,5053.0,4859.0,4849.0,4886.0
New Jersey,5306.0,4980.0,5699.0,4941.0,4549.0,5052.0,4741.0,5570.0,5675.0,5680.0,5801.0,5270.0,5215.0,5979.0,6151.0,6532.0,6321.0,5689.0,5926.0,5455.0,4595.0,4742.0
North Dakota,2751.0,2808.0,2903.0,2741.0,2793.0,2793.0,2865.0,2897.0,3148.0,3252.0,3453.0,3398.0,3076.0,3583.0,3478.0,3414.0,3549.0,3984.0,3944.0,3963.0,3863.0,4378.0
Wyoming,4021.0,3847.0,4081.0,3966.0,3847.0,4136.0,3976.0,4152.0,4377.0,4371.0,4287.0,4878.0,4825.0,4802.0,4408.0,4484.0,4484.0,4231.0,4144.0,3585.0,3847.0,4062.0
Nebraska,2899.0,2684.0,2874.0,2887.0,2560.0,2856.0,2638.0,2999.0,2883.0,3429.0,3490.0,3081.0,3255.0,3527.0,3393.0,3600.0,3272.0,3249.0,3330.0,3575.0,3146.0,3680.0
New Mexico,2919.0,2359.0,2801.0,2685.0,2837.0,3109.0,3274.0,2809.0,3416.0,3033.0,3321.0,3277.0,3234.0,2408.0,2529.0,2950.0,3160.0,2032.0,2917.0,3161.0,3138.0,3640.0
Connecticut,2930.0,2832.0,2742.0,3330.0,3122.0,2780.0,2841.0,2817.0,2893.0,2862.0,3055.0,2970.0,3219.0,3055.0,3502.0,3168.0,3295.0,3496.0,3440.0,3761.0,3653.0,3619.0
Maryland,4603.0,3746.0,5488.0,5160.0,4882.0,4540.0,4579.0,4616.0,4655.0,4165.0,4131.0,2842.0,3120.0,4173.0,3230.0,2865.0,2685.0,3971.0,3555.0,2826.0,3255.0,3434.0
